node_id,tipo_nodo,etiqueta,comunidad,componente,grado,fuerza,grado_bipartito,intermediacion,cercania,pagerank,vector_propio,channel_name,category,view_count,comentarios_recibidos,sent_medio
author::UCW80DaMjQlEUibC98Cot-Dg,autor,@rogeraldana4289,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.977
author::UClqA491Xa5fQcXcJJa-vTWw,autor,@AndresLemus-k2d,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.956
author::UCW-JC6lebVmf2P1dmY_L94g,autor,@dinoraoroxon5771,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,0.881
author::UColMq7LmaoY3MT6aIDGrGvA,autor,@quijotachapina1,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.965
author::UCUoYsrx1oZnCZ0usbBJn4fA,autor,@AnaDiaz-re9sq,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.905
author::UC3UVO7pTbeYvZ3ILEyRDskQ,autor,@rosaelenaargueta79,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.538
author::UCWoAVGVqCn4xtINCMOTM4jg,autor,@OmarMartinez-vv8re,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.979
author::UClhMWQ7XKWywYvbRnuf8QsA,autor,@EcPerez-zz9oh,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.172
author::UC32oozucwCF3q8d4m8fyOUg,autor,@RauldejesusOlivagonzalez,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.869
author::UCgQw_Sbq3ugruDUKsq1e0-A,autor,@marlenareano-h4t,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.975
author::UCkbsS_3D-pvg1iHOld9uvIg,autor,@gonzalo6075,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.671
author::UCkVtmkK07b2zaVVNssX4lOg,autor,@HectorElias-u2l,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.965
author::UCZeIIQrGAedW8tCbKWmGY-A,autor,@mariocordon8873,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.935
author::UC_LYoGs5C3mbZKZuKuqYCvw,autor,@javiercifuentesarchila6041,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,0.693
author::UCaKAjTW9MVub_clgr4DRYjQ,autor,@josecastillo4390,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,0.737
author::UCgJNFj5dnxXpcMvmuhZDPxA,autor,@NataliaRodriguez-rx5mr,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,0.905
author::UC4Avya4kmR4Q0FrfFdBozSQ,autor,@davidlima1348,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.224
author::UCe8JZoYkX5oKUZyivHYdXhw,autor,@FernandoGarcia-jg1fj,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.947
author::UCeDNEtI8_a42bZ47wJiJMwQ,autor,@EdgarcalderonCalderong,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.35
author::UCiC-Jn7wdgyQV4_Urk0DkWQ,autor,@pedroros6358,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.077
author::UCV0lM03g5fg5pbPj97-sAtA,autor,@genarodelgado3929,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,0.788
author::UC1DpqK6vaPEkBOMNvypsKYg,autor,@HectorCarranza-u4j4o,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.911
author::UCQyOePccUP-fIJYzchAgZYw,autor,@aguilar4254,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.933
author::UCuXmOjxC-htcprLgeVXz6Tg,autor,@jorgeaguilar-bq3uj,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.805
author::UC7dadZG7kkGYnsNu6td0FbA,autor,@lesolorzano,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.732
author::UC816IGbFCZinfYS1LRDaaHg,autor,@ingenieroar,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.015
author::UCwgCc9Jd_gG-uLE_SY-FfPg,autor,@armindapenados2841,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,-0.863
